legal_name,purpose
ec recycling UG (haftungsbeschränkt),"Handel mit Waren aller Art, insbesondere mit Recyclingmaterialien, Abfällen, Möbeln und Kraftfahrzeugen"
Maurer und Klinkner Bauunternehmung GmbH,Der Betrieb einer Bauunternehmung sowie sämtliche damit zusammenhängenden und den Gesellschaftszweck fördernden Geschäfte.
San Marko Gastro GmbH,das Betreiben und die Vermietung von Gastronomiebetrieben aller Art sowie der Handel von Material und Mobilien für solche.
"Müritz Sport, Boote und Freizeitartikel GmbH","Verkauf, Vermittlung, Vermietung, Import, Export von Booten, Sport- und Freizeitartikeln aller Art sowie Organisation und Durchführung von Boots- und Fahrradtouren, Klassenfahrten, Schullandheimaufenthalten, Freizeiten und Fortbildungsveranstaltungen, Vermietung von Ferienhäusern, Ferienwohnungen und Bootsliegeplätzen, Verleih von Fahrrädern sowie Betreiben von Campingplätzen. Die Gesellschaft ist berechtigt, alle Geschäfte einzugehen, die geeignet sind, den Geschäftszweck der Gesellschaft zu fördern. Sie kann im In- und Ausland Zweigniederlassungen errichten, sich an anderen Unternehmen gleicher oder ähnlicher Art beteiligen, sowie solche Unternehmen - einen entsprechenden Gesellschafterbeschluss vorausgesetzt - erwerben oder gründen."
effektiv sauber UG (haftungsbeschränkt),"Dienstleistungen in der Gebäudereinigung, Verwaltung von Ferienwohnungen inklusive Grundreinigung, Unterhaltsreinigung und der Vertrieb von Reinigungsmitteln."
SHC Munich one UG (haftungsbeschränkt),"Vermittlung von Transportaufträgen, Spedition, Verkauf und Vermietung von KFZ."
Stecker GmbH,Garten- und Landschaftsbau.
BAIT GmbH,"Eingehen von Stillhaltergeschäften zur Erzielung von Einnahmen und Anlage des Gesellschaftsvermögens in Termingeschäften, Vermögensanlagen und Finanzinstrumenten aller Art sowie Erwerb, Verwaltung und Verwertung von Beteiligungen an anderen Unternehmen im eigenen Namen, auf eigene Rechnung, nicht für Dritte und unter Ausschluss von Tätigkeiten, die einer Erlaubnis, insbesondere nach dem Kreditwesengesetz (KWG) oder dem Kapitalanlagegesetzbuch (KAGB), bedürfen."
Benz Verwaltungs GmbH,"die Beteiligung an und Übernahme der Geschäftsführung bei anderen Unternehmen, insbesondere die Beteiligung als persönlich haftende Gesellschafterin an der Gesellschaft Benz Holztransporte GmbH & Co. KG mit dem Sitz in Weibersbrunn."
ADA-HAS IT Management Aktiengesellschaft,"Gegenstand des Unternehmens ist der Verkauf und die Wartung von Computern und Zubehör, von Produkten und Leistungen der Telekommunikation, die Unternehmensberatung und Organisation im Bereich der Datenverarbeitung. Weiterhin die Entwicklung, die Programmierung und der Verkauf von Software und alle damit verwandten Geschäfte, sowie die Durchführung von Schulungen. Die Gesellschaft ist zu allen Geschäften und Maßnahmen berechtigt, die unmittelbar oder mittelbar dem Gegenstand des Unternehmens zu dienen geeignet sind. Sie ist insbesondere berechtigt, im In- und Ausland Zweigniederlassungen zu errichten, sich an anderen Unternehmen gleicher oder verwandter Art im In- und Ausland zu beteiligen sowie solche Unternehmen zu erwerben, zu gründen und für eigene oder fremde Rechnung zu führen."
Amara Fitness Kronberg GmbH,Betrieb eines Fitnessstudios
Gerüstbau FC GmbH,der Gerüstbau sowie alle artverwandten Tätigkeiten
ACT-Anwender Computer Training GmbH,"Die EDV-Beratung, das EDV-Training sowie der Handel mit EDV-Artikeln."
Friedrichsen Landtechnik Verwaltungs-GmbH,Gegenstand des Unternehmens ist die Übernahme der Komplementärstellung in der Gesellschaft Friedrichsen Landtechnik GmbH & Co. KG.
KHW Gesellschaft für innovative Unternehmensberatung mbH,"Gegenstand des Unternehmens ist das umfassende Consulting des Managements auf internationaler Basis durch die - Erarbeitung innovativer Führungskonzepte und deren Implementierung, - Entwicklung neuer Geschäftspotentiale im ökonomischtechnischen Wandel, - Unterstützung beim Aufbau und der Pflege strategischer Kooperationen und virtueller Organisationen, - Übernahme von Management-Aufgaben auf Zeit, - Erstellung interdisziplinärer Gutachten, - Vornahme aller Rechtsgeschäfte, die geeignet sind, den Gesellschaftszweck zu fördern."
BKF-TRAINER 24 LTD Zweigniederlassung Gleiszellen-Gleishorbach,"Dienstleistungen aller Art, Hol- und Bringdienste, Berufskraftfahrer Aus- und Weiterbildung, Fahr- und Flugschule, mit Ausnahme erlaubnispflichtiger Tätigkeiten."
Terrassendach-Schmiede Verwaltungs GmbH,"die Verwaltung eigenen Vermögens sowie die Übernahme der Geschäftsführung und der persönlichen Haftung in der Terrassendach-Schmiede GmbH & Co. KG mit Sitz in Düsseldorf, deren Gesellschaftszweck folgende Tätigkeiten erfasst: Vertrieb von Terrassendächern und deren Montage."
Reisebüro Herdecke Verwaltungs-GmbH,Die Leitung eines Reisebüros.
Muldentaler Pflegeteam GmbH,Betrieb eines ambulanten Alten- und Krankenpflegedienstes sowie außerklinische Intensivpflege und Heimbeatmung.
TGT - IT- und Informationssicherheit GmbH,ie Beratung und Auditierung von privatrechtlichen und öffentlichrechtlichen Institutionen zum Schutz und zur Optimierung der Informationsverarbeitung gemäß ISO 27001 IT-Grundschutz sowie die Beratung im Bereich Business Service Management (BSM).
alligno Maschinenexport GmbH,"Der Handel mit, insbesondere der Export von Maschinen und maschinellen Anlagen, insbesondere von Holzbearbeitungsanlagen."
CIRRUS Airlines Luftfahrtgesellschaft mbH,"Gewerblicher Gelegenheitsverkehr mit Luftfahrzeugen, Fluglinienverkehr sowie Durchführung von Pauschal-Ferienreisen."
Thomas Kleinrensing Verwaltungs-GmbH,"Erwerb und Verwaltung von Beteiligungen sowie Übernahme der persönlichen Haftung und der Geschäftsführung bei Handelsgesellschaften, insbesondere Beteiligung als persönlich haftende Gesellschafterin an Unternehmen des Herrn Thomas Kleinrensing"
CST Unternehmergesellschaft (haftungsbeschränkt),"Vermitteln und Abschließen von Warenhandelsgeschäften im fremden Namen und auf fremde Rechnung für Personen, die Waren der angebotenen Art nicht zur Ausübung einer selbständigen Erwerbstätigkeit benötigen, Namenhaftmachung von Personen, die an der Vermittlung von Versicherungsverträgen interessiert sind, an einen Versicherungsvermittler oder ein Versicherungsunternehmen unter Ausschluss jeder einem zur Versicherungsvermittlung berechtigten Gewerbetreibenden vorbehaltenen Tätigkeit, Vermittlung von Diskontgeschäften, Wohnungs- und Immobilienvermittlung, Hausverwaltung, Hausmeisterservice."
Teak24 GmbH,"der Warenhandel aller Art, hier insbesondere der Möbelhandel, die Dienstleistung und der Service aller Art, der Handel mit Immobilien und deren Verwaltung sowie die damit zusammenhängenden Geschäfte. Ferner hat die Gesellschaft die Beteiligung an anderen Unternehmen mit einem verwandten Unternehmenszweck sowie deren Geschäftsführung unter Übernahme der unbeschränkten Haftung zum Gegenstand."
Altime Sport & Leisure GmbH,"der Handel mit, die Vermittlung von sowie der Vertrieb von Kunststoffprodukten"
Grumbach Vertriebs GmbH,Gegenstand des Unternehmens ist der Handel mit Sanitärbausteinen
Rudolf Wiegmann Verwaltungs- und Beteiligungs- GmbH,"Beteiligung an anderen Gesellschaften, die Übernahme der Geschäftsführung und Vertretung sowie die Verwaltung eines oder mehrerer Gewerbebetriebe bei gleichzeitiger Übernahme der persönlichen Haftung"
Schloß Schleiden Immobilienverwaltungsgesellschaft mbH,"Verwaltung von Immobilien, der Erwerb und die Verwaltung von Beteiligungen an Handelsgesellschaften sowie die Übernahme der persönlichen Haftung bei diesen, insbesondere die Beteiligung an der Schloß Schleiden-Immobilien GmbH & Co. KG mit Sitz in Mechernich"
Janina La Mode GmbH,Der Handel mit Textilien sowie Accessoires.
BKN-Photovoltaik GmbH,"Beratung, Verkauf und Vertrieb von Photovoltaikanlagen, Elektromobilität, Haussanierung, Smarthome und verwandten Produkten und Dienstleistungen."
Hightex Maintenance GmbH,"Erbringung von Dienstleistungen im Bereich von Beratung, Planung, Vertrieb, Konfektionierung, Montage, Wartung und Prüfverfahren für Membranstrukturen sowie für Energieversorgungslösungen unter Nutzung von Membranstrukturen, sowie jegliche andere Aktivitäten welche den vorgenannten Unternehmensgegenstand unterstützen"
X & X GmbH,der Betrieb einer Diskothek.
Grevener Bettwäsche GmbH,"Die Übernahme der Stellung einer persönlich haftenden Gesellschafterin in der J.C. Biederlack GmbH & Co., mit dem Sitz in Greven, welche ihrerseits in Greven die Herstellung und den Vertrieb von Textilwaren betreibt sowie die Herstellung und der Vertrieb von Bettwäsche und Decken."
GERUS Projektentwicklungsgesellschaft mbH,"Die Konzeption von Investitionsprojekten sowie die Vorbereitung von Bauvorhaben im eigenen Namen für eigene oder fremde Rechnung, die Entwicklung oder Projektleitung von Bauvorhaben auf unbebauten oder bebauten Grundstücken, der Erwerb und die Verpachtung von Grundstücken; Beherbergung und Gastronomie"
mobifiX GmbH,"Planung, Abwicklung und Übernahme von nationalen und internationalen Logistikleistungen in den Bereichen Spedition, Fulfillment, Ersatzteilservice, Kontraktlogistik, Transport, Lagerhaltung, Im- und Export, Versandoutsourcing und Value Added Services für gewerbliche und private Kunden."
Zinshaus Finanz GmbH,Verwaltung eigenen Vermögens
S-Bahn Mitteldeutschland GmbH,die Erbringung und Planung von Schienenpersonennahverkehrsleistungen in Deutschland und im angrenzenden Raum; ferner die Erledigung aller damit unmittelbar oder mittelbar zusammenhängenden Geschäfte
ShowBiz Entertainment UG (haftungsbeschränkt),Der Betrieb von Veranstaltungs- und Versammlungsstätten für die Vergnügungsund Unterhaltungsindustrie.
Inkasso Schuster GmbH,Geschäftsmäßige außergerichtliche Einziehung fremder oder zu Einziehungszwecken abgetretener Forderungen.
Miles Deutschland GmbH,"der Handel mit und der Vertrieb von Bauprodukten und Stahlerzeugnissen, insbesondere von Betonstahl, Dickblechen, Ringankerkörben und Brennteilen."
2GROW UG (haftungsbeschränkt),"Gegenstand des Unternehmens ist die allgemeine Beratung und Erbringung von Dienstleistungen, sowie damit verbundene Geschäfte, insbesondere im Bereich Marketing und Vertrieb."
Verwaltungsgesellschaft Leuschnerstrasse GmbH,"Der Erwerb und die Verwaltung von Beteiligungen und von Grundstücken, der Immobilienhandel, die Entwicklung von Immobilienprojekten und die Erbringung von Dienstleistungen im Zusammenhang mit Immobilien."
Infodyn GmbH,Entwicklung von Software und deren Vertrieb; Veranstaltung von Schulungen und Beratung in diesem Bereich.
Optik Pertiet GmbH,"Gegenstand des Unternehmens ist der Betrieb eines Augenoptik-Handwerkbetriebes sowie Handel mit optischen Geräten und Zubehör. Die Gesellschaft kann sämtliche Geschäfte betreiben, die zur Erreichung dieses Zweckes geeignet sind. Sie kann sich insbesondere auch an ähnlichen Unternehmen beteiligen oder solche erwerben."
Schaustellerbetrieb Pfisterer Verwaltungs UG (haftungsbeschränkt),"Übernahme der persönlichen Haftung und Geschäftsführung bei Handelsgesellschaften, insbesondere bei der Schaustellerbetrieb Pfisterer UG (haftungsbeschränkt) & Co. KG."
Zimmerei Stimmer & Moser GmbH,Zimmereibetrieb
Alder Beteiligungen UG (haftungsbeschränkt),Gegenstand des Unternehmens ist das Halten von Beteiligungen und die Verwaltung einen Vermögens.
Stempfle Projektbau GmbH,"Bebauung, An- und Verkauf, Vermietung und Verwaltung von Immobilien, Betreuung von Sanierungen und Renovierungen von Altbauten und das Baubetreuer- und Bauträgergeschäft im Sinne des § 34 c der Gewerbeordnung auch als Generalunternehmer."
uttc-Service u. Technik GmbH,"Die Erbringung und der Handel mit Dienstleistungen im technischen und kaufmännischen Bereich, Beratungsleistungen, Handel mit technischen Einrichtungen sowie alle artverwandten Geschäfte sowie die Arbeitnehmerüberlassung"
Windpark Am Hohnersberg Verwaltungsgesellschaft UG (haftungsbeschränkt),Die Beteiligung als persönlich haftende Gesellschafterin an der im Handelsregister beim Amtsgericht Kleve unter HRA 3383 eingetragenen Windpark am Hohnersberg GmbH & Co. KG mit dem Sitz in Rees und die Übernahme der Geschäftsführung für diese Gesellschaft.
Neumann GmbH,die Beteiligung an der Neumann Bürotechnik GmbH und Co KG als persönlich haftende Gesellschafter sowie an anderen Unternehmen.
proEDV Systemhaus Dobesch GmbH,"Entwicklung und Vertrieb von Computerprogrammen, Handel mit Computer - Hand- und Software, Erbringung von Dienstleistungen im EDV-Bereich; die Beteiligung an Unternehmen mit gleichem und ähnlichem Gegenstand; die Geschäftsführung für solche Unternehmen"
binäre freunde GmbH,die IT-Beratung
T. Schümann Verwaltungs GmbH,"Verwaltung von Beteiligungen sowie die Übernahme der persönlichen Haftung und der Geschäftsführung bei Personenhandelsgesellschaften, insbesondere die Beteiligung als persönlich haftende geschäftsführende Gesellschafterin (Komplementärin) an TS details GmbH & Co. mit Sitz in Norderstedt."
Myndoo Systems GmbH,"Vertrieb und die Vermietung von Software, der Vertrieb von Hardware und der Vertrieb von IT Unternehmenslösungen."
Fortkord Oberfläche Industrielackierungen GmbH,"Lackierung von Holz-, Metall und Kunststoffteilen für die Industrie. Die Gesellschaft ist zu allen Handlungen berechtigt, die geeignet erscheinen, den Gesellschaftszweck unmittelbar oder mittelbar zu fördern. Sie ist insbesondere berechtigt, im In- und Ausland Zweigniederlassungen oder Tochtergesellschaften zu errichten, gleichartige oder ähnliche Unternehmen zu erwerben oder zu pachten oder sich an solchen Unternehmen zu beteiligen."
OF Consulting GmbH,"Die Beratung und das Coaching von Unternehmen und sonstigen Institutionen des öffentlichen und privaten Rechts in betriebswirtschaftlichen Fragen, insbesondere in den Bereichen Vertrieb, Marketing und Markenaufbau."
WISAG Garten- und Landschaftspflege Bayern Beteiligungs GmbH,"Erwerb und Verwaltung von Beteiligungen sowie die Übernahme der persönlichen Haftung und der Geschäftsführung bei Handelsgesellschaften, insbesondere die Beteiligung an der WISAG Garten- und Landschaftspflege Bayern GmbH & Co. KG."
Kiefer & Rodenbüsch Wohnen GmbH,"Gegenstand des Unternehmens ist der Handel mit Möbeln und Wohnaccessoires, Möbelherstellung, Projektierung, Kauf und Verkauf von Möbelhäusern sowie deren Vermietung und Verpachtung, ferner alle damit zusammenhängenden und den Gesellschaftszweck fördernden Geschäfte. Die Gesellschaft darf andere Unternehmen gleicher oder ähnlicher Art übernehmen, sich an ihnen beteiligen und ihre Geschäfte führen."
Airservice Westerwald GmbH,"der Erwerb, die Unterhaltung und der Betrieb von Flugzeugen."
Seriva Vermögensverwaltungs GmbH,"Verwaltung eigener Vermögenswerte, insbesondere besteht die Haupttätigkeit darin, mit Finanzinstrumenten für eigene Rechnung zu handeln (Finanzunternehmen). Der Gegenstand des Unternehmens umfasst nicht das Betreiben von Bankgeschäften oder die Erbringung von Finanzdienstleistungen im Sinne des Kreditwesengesetzes."
Meier IT-Connect GmbH,"Erarbeitung von organisatorischen Lösungen für technische und kaufmännische Abläufe, ihre EDV-mäßige Realisierung und die Veräußerung der erstellten Programme. Die Gesellschaft kann alle Geschäfte betreiben, die dem Gesellschaftszweck unmittelbar oder mittelbar zu dienen geeignet sind. Sie kann Zweigniederlassungen errichten und sich an gleichartigen Unternehmen beteiligen. Weiterer Gegenstand des Unternehmens ist der Vertrieb und Handel mit Dienstleistungen und Gütern aller Art."
Münch GmbH,"Fabrikmäßige Herstellung und Vertrieb im Groß- und Einzelhandel von Leder und Lederbekleidung, sowie Vornahme aller damit im Zusammenhang stehenden Geschäfte."
BoWaDe GmbH,"Gegenstand des Unternehmens ist der Akustik- und Trockenbau. Die Gesellschaft ist befugt, alle Rechtsgeschäfte und Handlungen vorzunehmen, welche ihrem Zweck zu dienen geeignet sind, insbesondere auch, sich an anderen Unternehmen zu beteiligen."
BTG Röntgen Bildgebende Technik GmbH,"Der Vertrieb medizinischer Röntgenfilme, Röntgenfilmentwicklungsmaschinen, Röntgenzubehör und Kontrastmittel sowie die Lösung qualifizierter technischer Probleme hinsichtlich der technischen Qualitätskontrolle in der Filmverarbeitung und Durchführung des technischen Services für Filmentwicklungsmaschinen. Die Gesellschaft vertreibt keine Heilmittel im Sinne des Arzneimittelgesetzes und betätigt sich auch sonst nicht mit Unternehmensgegenständen, die der behördlichen Genehmigung bedürfen."
